rescinded	activity_code	common_name	sci_name	AdMod	Jeopardy	RPAs
Y	22410-2008-F-0149	Munzs Onion	Allium munzii	N	Y	Y
Y	22410-2008-F-0149	Bear Valley Sandwort	Arenaria ursine	N	Y	Y
Y	22410-2008-F-0149	Cushenbury Milk-vetch	Astragalus albens	N	Y	Y
Y	22410-2008-F-0149	Tripleribbed Milk-vetch	Astragalus tricarinatus	None	Y	Y
Y	22410-2008-F-0149	Mariposa pussypaws	Calyptridium pulchellum	None	Y	Y
Y	22410-2008-F-0149	Ashgray Paintbrush  (aka Ash-Grey Indian Paintbrush	Castilleja cinerea	N	Y	Y
Y	22410-2008-F-0149	Vail Lake Ceanothus	Ceanothus ophiochilus	Y	Y	Y
Y	22410-2008-F-0149	Purple Amole (aka Camatta Canyon amole)	Chlorogalum purpureum	N	Y	Y
Y	22410-2008-F-0149	Slender-horned Spineflower	Dodecahema leptoceras	None	Y	Y
Y	22410-2008-F-0149	Parishs daisy	Erigeron parishii	N	Y	Y
Y	22410-2008-F-0149	Southern Mountain Buckwheat	Eriogonum kennedyi var. austromontanum	N	Y	Y
Y	22410-2008-F-0149	Cushenbury Buckwheat	Eriogonum ovalifolium var. vineum	N	Y	Y
Y	22410-2008-F-0149	Holy Ghost Ipomopsis	Ipomopsis sancti-spiritus	None	Y	Y
Y	22410-2008-F-0149	San Bernardino Mountains Bladderpod	Lesquerella kingii ssp. bernardina	N	Y	Y
Y	22410-2008-F-0149	Nevins Barberry (=Truckee)	Mahonia (=Barberia) nevinii	Y	Y	Y
Y	22410-2008-F-0149	Cushenbury Oxytheca	Oxytheca parishii var. goodmaniana	N	Y	Y
Y	22410-2008-F-0149	San Bernardino Bluegrass	Poa atropurpurea	N	Y	Y
Y	22410-2008-F-0149	Bird-footed Checkerbloom (aka Pedate Checkermallow)	Sidalcea pedata	None	Y	Y
Y	22410-2008-F-0149	California Dandelion	Taraxacum californicum	N	Y	Y
Y	22410-2008-F-0149	Slender-petaled mustard	Thelypodium stenopetalum	None	Y	Y
Y	22410-2008-F-0149	Quino Checkerspot Butterfly	Euphydryas editha quino	Y	Y	Y
Y	22410-2008-F-0149	Laguna Mountains Skipper	Pyrgus ruralis lagunae	Y	Y	Y
Y	22410-2008-F-0149	Finelined Pocketbook	Lampsilis altilis	Y	N	Y
Y	22410-2008-F-0149	Alabama Moccasinshell	Medionidus acutissimus	Y	N	Y
Y	22410-2008-F-0149	Coosa Moccasinshell	Medionidus parvulus	Y	Y	Y
Y	22410-2008-F-0149	James spiny mussel	Pleurobema collina	None	Y	Y
Y	22410-2008-F-0149	Southern Clubshell	Pleurobema decisum	Y	N	Y
Y	22410-2008-F-0149	Southern Pigtoe	Pleurobema georgianum	Y	Y	Y
Y	22410-2008-F-0149	Triangular Kidneyshell	Ptychobranchus greenii	Y	N	Y
Y	22410-2008-F-0149	Santa Ana Sucker	Catostomus santaanae	N	Y	Y
Y	22410-2008-F-0149	Blue shiner	Cyprinella caerulea	None	Y	Y
Y	22410-2008-F-0149	Etowah darter	Etheostoma etowahae	None	Y	Y
Y	22410-2008-F-0149	Unarmored Threespine Stickleback	Gasterosteus aculeatus williamsoni	None	Y	Y
Y	22410-2008-F-0149	Owens Tui Chub	Gila bicolor snyderi	N	Y	Y
Y	22410-2008-F-0149	Sonora Chub	Gila ditaenia	N	Y	Y
Y	22410-2008-F-0149	Little Colorado Spinedace	Lepidomeda vittata	N	Y	Y
Y	22410-2008-F-0149	Spikedace	Meda fulgida	N	Y	Y
Y	22410-2008-F-0149	Paiute cutthroat trout	Oncorhynchus clarki seleniris	None	Y	Y
Y	22410-2008-F-0149	Greenback cutthroat trout	Oncorhynchus clarki stomias	None	Y	Y
Y	22410-2008-F-0149	Little Kern Golden Trout	Oncorhynchus mykiss whitei	N	Y	Y
Y	22410-2008-F-0149	Amber Darter	Percina antesella	Y	Y	Y
Y	22410-2008-F-0149	Conasauga logperch	Percina jenkinsi	Y	Y	Y
Y	22410-2008-F-0149	Kendall Warm Springs dace	Rhinichthys osculus thermalis	None	Y	Y
Y	22410-2008-F-0149	Loachminnow	Tiaroga cobitis	N	Y	Y
Y	22410-2008-F-0149	Mountain yellow-legged frog (Southern California DPS)	Rana muscosa	Y	Y	Y
N	04EK1000-2014-F-0755	Orangefoot pimpleback	Plethobasus cooperianus	N	N	N
N	04EK1000-2014-F-0755	Rabbitsfoot	Quadrula cylindrica cylindrica	N	N	N
N	04EK1000-2014-F-0755	Sheepnose mussel	Plethobasus cyphyus	N	N	N
N	06E21000-2014-F-0363	Topeka shiner	Notropis topeka(=tristis)	N	N	N
N	04ET1000-2014-F-0566	Dromedary pearlymussel 	Dromus dromas	N	Y	N
N	81420-2008-F-1481	Delta smelt	Hypomesus transpacificus	N	Y	Y
